357,795,8|AVOCADO TUNA ORIENTAL
533,858,8|Env. en Palta: Champiñón
533,847,8|apanado, palta, pepino
532,802,7|Camarón apanado, queso,
532,792,7|palta. Env. en salmón
533,688,7|Atún, salsa spicy, queso,
533,678,7|ciboulette. Env. en tortilla
533,668,7|de huevo apanado
697,906,34|ROLLS
807,903,37|SAKE
351,132,36|NIGUIRIS
350,112,9|BOLITAS DE ARROZ CUBIERTAS DE PROTEÍNA
1198,858,7|Camarón apanado,
1198,848,7|queso, palta
1032,754,7|Champiñon, palmito,
1032,744,7|choclo o palta, queso
26,895,34|ROLLS
136,898,37|AVOCADOS
27,694,8|KATZU
28,678,8|Pollo apanado, queso, palta
29,663,8|$5.600
28,754,8|EBI
27,739,8|Camarón, queso, palta
28,725,8|$5.300
28,862,8|ÁNGEL
27,845,8|Salmón, camarón, queso
28,831,8|$5.800
27,794,8|Salmón, queso, palta
27,779,8|$5.300
27,809,8|AVOCADO
176,657,8|Atún, queso, cebollín
178,640,8|$5.600
176,674,8|TUNA
176,734,8|TEMPURA
176,717,8|Camarón apanado,
176,705,8|queso, palta
176,692,8|$5.600
176,862,8|SHITAKE
176,846,8|Champiñón apanado, queso,
176,835,8|salsa spicy
176,818,8|$4.800
176,790,8|TAKO
176,774,8|Pulpo, queso, palta
177,750,8|$5.800
27,638,8|PALMITO
27,622,8|Palmito, queso, cebollín
28,609,8|$4.800
28,572,35|ROLLS
139,574,38|CALIFORNIA
30,317,34|ROLLS
140,319,37|FRITOS
30,535,8|CALIFORNIA EBI
30,520,8|Camarón, queso, palta
31,506,8|$4.300
185,535,8|CALIFORNIA SAKE
185,519,8|Salmón, palta
186,506,8|$4.500
30,487,8|CALIFORNIA EBI SAKE
30,471,8|Camarón, salmón, queso
31,459,8|$4.800
32,425,8|Pollo apanado, palta
33,411,8|$4.300
30,438,8|CALIFORNIA KATZU
187,465,8|Pulpo, queso, palta
186,451,8|$4.700
185,481,8|CALIFORNIA TAKO
185,425,8|CALIFORNIA VEGGIE
186,409,8|Palmito, palta
188,396,8|$3.800
30,389,8|CALIFORNIA LIGHT
30,373,8|Champiñón, queso, cebollín
30,360,8|$3.800
29,174,9|PANKO
29,158,9|Camarón, queso, cebollín
30,144,9|$5.300
28,54,9|PANKO VEGEL
28,37,9|Palta, pepino, cebollin, queso
29,24,9|$4.800
183,105,9|TORI
183,87,9|Camarón, queso, cebollín.
183,76,9|Env. en pollo apanado
183,59,9|$5.600
183,257,9|Pollo apanado, queso, cebollín
183,242,9|$5.300
184,272,9|PANKO TORI
29,106,9|Camarón, queso, cebollín.
29,94,9|Env. en salmón apanado
30,75,9|$5.500
30,125,9|PANKO SAKE
29,277,9|ELMER
28,262,9|Salmón, queso, cebollín
28,247,9|$5.600
183,154,9|TAKO ESPECIAL
183,137,9|Pulpo, queso, cebollín
183,123,9|$5.300
183,218,9|SALMÓN
183,201,9|Salmón, palta, cebollín.
183,189,9|Env. en salmón apanado
183,172,9|$6.200
29,226,9|MARY
